name,h_index,i10_index,works_count,cited_by_count,rush_works_5yr,two_year_mean_citedness,rush_dept,college,match_type,orcid,openalex_id,recent_author_works_5yr,senior_author_5yr,first_author_5yr,contributing_author_5yr,ambiguous_author_5yr,leadership_ratio_5yr,rush_affiliated_senior_5yr,external_contributor_5yr,corresponding_author_5yr,mean_fwci_5yr,top10_impact_works_5yr,top10_impact_share_5yr,dominant_topic_5yr,dominant_topic_works_5yr,openalex_awarded_works_5yr,nih_awarded_works_5yr,cross_dept_publications_5yr,rush_led_cross_dept_5yr,nih_project_years_5yr,nih_unique_projects_5yr,nih_active_projects,nih_r01_projects_5yr,nih_total_cost_5yr,nih_pi_match_type
David A. Bennett,197,1171,2234,183099,616,7.931034482758621,Neurological Sciences,Rush Medical College,"matched(ns=23,rw=616)",https://orcid.org/0000-0003-3689-554X,https://openalex.org/A5014075642,794,73,2,706,13,0.092,70,43,16,3.893,240,0.302,Dementia and Cognitive Impairment Research,138,419,392,330,188,24,5,4,4,41529119,exact_first_last
John E. O'Toole,33,82,194,4788,36,2.206896551724138,Neurological Surgery,Rush Medical College,"matched(ns=23,rw=36)",0000-0002-7802-4948,https://openalex.org/A5103250498,54,15,1,38,0,0.278,14,3,2,2.459,14,0.259,Spine and Intervertebral Disc Pathology,16,2,0,3,2,0,0,0,0,0,none
Julie A. Schneider,150,517,930,100202,284,7.537931034482758,Pathology,Rush Medical College,"matched(ns=23,rw=284)",https://orcid.org/0000-0002-9482-1752,https://openalex.org/A5022605809,345,53,0,291,1,0.154,51,17,2,4.401,120,0.348,Dementia and Cognitive Impairment Research,62,155,142,277,142,23,6,4,3,29140532,exact_first_last
Christopher J. O'Connor,28,44,138,4244,0,6.0,Anesthesiology,Rush Medical College,corrected_wrong_person,,https://openalex.org/A5113153193,15,5,0,10,0,0.333,0,10,0,2.425,4,0.267,Heart Failure Treatment and Management,4,1,1,0,0,0,0,0,0,0,none
Christopher G. Goetz,116,382,679,71203,65,2.129032258064516,Neurological Sciences,Rush Medical College,"matched(ns=23,rw=65)",https://orcid.org/0000-0003-1665-8205,https://openalex.org/A5011811351,82,21,1,58,2,0.256,17,9,2,2.270,15,0.183,Parkinson's Disease Mechanisms and Treatments,40,19,17,16,10,3,1,1,0,1441314,exact_first_last
Brian J. Cole,108,635,1322,45844,193,2.350515463917526,Orthopedic Surgery,Rush Medical College,"matched(ns=23,rw=193)",https://orcid.org/0000-0002-4006-2113,https://openalex.org/A5064391561,295,131,13,151,0,0.444,102,24,63,1.860,72,0.244,Knee injuries and reconstruction techniques,78,10,7,5,3,0,0,0,0,0,none
Joshua J. Jacobs,105,277,484,33917,30,1.0,Orthopedic Surgery,Rush Medical College,"matched(ns=23,rw=30)",https://orcid.org/0000-0003-3902-7334,https://openalex.org/A5079465450,58,5,6,46,1,0.086,3,16,7,1.441,9,0.155,Orthopaedic implants and arthroplasty,18,8,8,2,0,2,1,0,0,5585899,exact_first_last
Rebecca O'Dwyer,13,14,52,706,11,7.8,Neurological Sciences,Rush Medical College,corrected_wrong_person,https://orcid.org/0000-0003-2461-8457,https://openalex.org/A5086225310,13,2,4,7,0,0.154,2,1,4,2.811,5,0.385,Epilepsy research and treatment,7,0,0,1,0,0,0,0,0,0,none
Joan O'Keefe,20,24,46,1797,7,5.571428571428571,Anatomy & Cell Biology,Rush Medical College,corrected_wrong_person,https://orcid.org/0000-0003-4018-7212,https://openalex.org/A5056327011,12,4,0,8,0,0.333,4,1,3,5.691,5,0.417,"Balance, Gait, and Falls Prevention",4,2,2,7,7,0,0,0,0,0,none
Theodore P. Pincus,100,368,637,52884,26,0.7916666666666666,Internal Medicine,Rush Medical College,"matched(ns=10,rw=26)",https://orcid.org/0000-0002-8998-8865,https://openalex.org/A5064101830,41,17,15,8,1,0.415,17,0,22,0.479,0,0.000,Rheumatoid Arthritis Research and Therapies,17,0,0,0,0,0,0,0,0,0,none
Francine Grodstein,99,292,482,33316,88,6.755102040816326,Internal Medicine,Rush Medical College,"matched(ns=20,rw=88)",https://orcid.org/0000-0002-2699-7051,https://openalex.org/A5088908376,134,22,9,103,0,0.164,20,18,10,5.108,42,0.313,Dementia and Cognitive Impairment Research,20,72,71,60,43,12,3,2,2,11326881,exact_first_last
Patricia DeMarais,1,1,1,117,0,0,Internal Medicine,Rush Medical College,collision_resolved,,https://openalex.org/A5108509597,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Alan L. Landay,98,472,800,39314,82,4.422535211267606,Internal Medicine,Rush Medical College,"matched(ns=10,rw=82)",https://orcid.org/0000-0001-9645-1356,https://openalex.org/A5016102389,178,3,4,171,0,0.017,3,51,6,2.772,46,0.258,HIV-related health complications and treatments,35,93,77,7,2,0,0,0,0,0,none
Robert A. Weinstein,98,312,732,45049,58,7.28125,Internal Medicine,Rush Medical College,collision_resolved,https://orcid.org/0000-0002-3390-858X,https://openalex.org/A5026024349,62,6,1,55,0,0.097,6,5,4,3.771,25,0.403,Long-Term Effects of COVID-19,17,30,19,28,7,0,0,0,0,0,none
Lisa Barnes,96,336,815,46714,308,4.448648648648649,Neurological Sciences,Rush Medical College,"matched(ns=10,rw=308)",https://orcid.org/0000-0002-0072-9817,https://openalex.org/A5026996448,387,63,5,317,2,0.163,60,36,9,3.650,124,0.320,Dementia and Cognitive Impairment Research,114,167,163,203,138,12,3,3,2,14705974,exact_first_last
Ali Keshavarzian,95,327,623,37410,98,3.4464285714285716,Internal Medicine,Rush Medical College,"matched(ns=20,rw=98)",https://orcid.org/0000-0002-7969-3369,https://openalex.org/A5002619544,166,49,5,112,0,0.295,38,32,13,2.654,38,0.229,Gut microbiota and health,24,57,48,46,29,15,4,3,2,6935864,exact_first_last
Sue Leurgans,94,277,434,37741,98,4.45945945945946,Neurological Sciences,Rush Medical College,"matched(ns=10,rw=98)",https://orcid.org/0000-0003-2536-1665,https://openalex.org/A5070294274,113,0,0,113,0,0.000,0,2,0,2.667,30,0.265,Dementia and Cognitive Impairment Research,38,60,59,104,89,4,1,0,0,1485220,exact_first_last
Craig J. Della Valle,93,337,585,31934,96,3.2830188679245285,Orthopedic Surgery,Rush Medical College,"matched(ns=23,rw=96)",https://orcid.org/0000-0003-2913-7513,https://openalex.org/A5056944448,119,67,4,45,3,0.563,61,4,19,2.715,42,0.353,Total Knee Arthroplasty Outcomes,47,2,1,10,10,0,0,0,0,0,none
Elizabeth M. Berry-Kravis,90,299,549,27156,143,2.7721518987341773,Pediatrics,Rush Medical College,corrected_rush5yr,https://orcid.org/0000-0001-7099-1522,https://openalex.org/A5016953572,178,13,13,147,5,0.073,9,13,21,2.795,49,0.275,Genetics and Neurodevelopmental Disorders,84,68,57,18,9,0,0,0,0,0,none
Aron Buchman,87,248,446,27431,114,3.3,Neurological Sciences,Rush Medical College,"matched(ns=10,rw=114)",https://orcid.org/0000-0002-6426-2742,https://openalex.org/A5020237298,142,32,11,98,1,0.225,31,3,13,2.835,37,0.261,Dementia and Cognitive Impairment Research,26,74,70,61,51,13,4,2,4,11745694,exact_first_last
Howard S. An,84,323,626,26977,59,4.416666666666667,Orthopedic Surgery,Rush Medical College,"matched(ns=23,rw=59)",https://orcid.org/0000-0001-9560-9131,https://openalex.org/A5069437689,68,10,0,58,0,0.147,10,8,3,2.103,18,0.265,Spine and Intervertebral Disc Pathology,31,7,5,9,6,0,0,0,0,0,none
Richard A. Berger,81,213,363,21089,12,1.8571428571428572,Orthopedic Surgery,Rush Medical College,"matched(ns=23,rw=12)",https://orcid.org/0000-0002-3019-2125,https://openalex.org/A5102711003,19,5,1,12,1,0.263,5,5,3,1.253,3,0.158,Total Knee Arthroplasty Outcomes,9,0,0,0,0,0,0,0,0,0,none
Robert J. McCarthy,80,322,721,22158,24,2.388888888888889,Anesthesiology,Rush Medical College,"matched(ns=23,rw=24)",https://orcid.org/0000-0002-0966-5311,https://openalex.org/A5043800653,61,20,7,34,0,0.328,16,19,14,2.086,9,0.148,Anesthesia and Pain Management,8,6,5,6,3,0,0,0,0,0,none
Raj C. Shah,79,277,520,27247,113,4.448979591836735,Family & Preventive Medicine,Rush Medical College,"matched(ns=23,rw=113)",https://orcid.org/0000-0001-9706-9730,https://openalex.org/A5022309484,178,13,8,155,2,0.073,6,36,10,3.487,58,0.326,Dementia and Cognitive Impairment Research,37,69,58,27,20,0,0,0,0,0,none
Shane J. Nho,75,335,728,19070,202,3.5,Orthopedic Surgery,Rush Medical College,"matched(ns=23,rw=202)",https://orcid.org/0000-0002-2789-1531,https://openalex.org/A5014147462,264,187,6,71,0,0.708,165,7,25,1.900,67,0.254,Hip disorders and treatments,201,1,1,29,24,0,0,0,0,0,none
Robert Eisenberg,72,219,447,15945,8,0.7647058823529411,Physiology & Biophysics,Rush Medical College,corrected_rush5yr,https://orcid.org/0000-0002-4860-5434,https://openalex.org/A5091003144,50,9,4,18,19,0.180,4,11,24,0.591,1,0.020,Photoreceptor and optogenetics research,8,17,2,0,0,0,0,0,0,0,none
Bridget O'Brien Fagan,0,0,0,0,0,0,College of Nursing,College of Nursing,corrected_no_match,,,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Kalipada Pahan,70,184,291,15205,58,1.1142857142857143,Neurological Sciences,Rush Medical College,"matched(ns=20,rw=58)",https://orcid.org/0000-0001-6048-9598,https://openalex.org/A5087133073,68,65,0,2,1,0.956,60,1,43,1.924,13,0.191,Alzheimer's disease research and treatments,6,46,31,0,0,6,2,0,1,2438722,exact_first_last
Lei Yu,70,224,396,19606,84,3.8870967741935485,Neurological Sciences,Rush Medical College,"matched(ns=20,rw=84)",https://orcid.org/0000-0002-0237-8758,https://openalex.org/A5101937767,139,6,16,117,0,0.043,3,31,14,2.899,46,0.331,Dementia and Cognitive Impairment Research,25,66,53,67,44,1,1,1,0,371305,exact_first_last
David L. Williams,69,222,296,16688,15,2.8,Microbial Pathogens & Immunity,Rush Medical College,"matched(ns=23,rw=15)",https://orcid.org/0000-0002-6815-4909,https://openalex.org/A5044235202,23,1,0,21,1,0.043,1,2,4,1.746,3,0.130,Redox biology and oxidative stress,7,13,10,0,0,3,2,0,0,861068,exact_first_last
Thomas Pritchett Bleck,65,162,391,18966,2,2.0714285714285716,Neurological Sciences,Rush Medical College,"matched(ns=13,rw=2)",https://orcid.org/0000-0002-8267-9787,https://openalex.org/A5019421564,51,7,1,41,2,0.137,4,37,6,2.916,14,0.275,Traumatic Brain Injury Research,13,9,8,3,2,0,0,0,0,0,none
Richard G. Fessler,65,204,457,14790,58,2.787878787878788,Neurological Surgery,Rush Medical College,"matched(ns=23,rw=58)",https://orcid.org/0000-0002-7432-0950,https://openalex.org/A5071664246,78,21,2,52,3,0.269,21,7,13,1.693,16,0.205,Scoliosis diagnosis and treatment,36,0,0,4,2,0,0,0,0,0,none
Michael Gottlieb,65,328,956,16029,467,2.633093525179856,Emergency Medicine,Rush Medical College,"matched(ns=20,rw=467)",https://orcid.org/0000-0003-3276-8375,https://openalex.org/A5018567151,541,207,153,174,7,0.383,186,30,174,2.687,148,0.274,Innovations in Medical Education,47,28,9,32,12,0,0,0,0,0,none
Aaron G. Rosenberg,65,121,246,11908,1,0.0,Orthopedic Surgery,Rush Medical College,"matched(ns=23,rw=1)",,https://openalex.org/A5111983770,27,3,0,23,1,0.111,0,22,1,0.078,0,0.000,Lymphoma Diagnosis and Treatment,18,2,0,0,0,0,0,0,0,0,none
Gary D. Steinberg,65,194,479,19463,18,8.044444444444444,Urology,Rush Medical College,"matched(ns=23,rw=18)",https://orcid.org/0000-0003-4469-0624,https://openalex.org/A5055374861,107,22,4,81,0,0.206,12,63,5,4.498,32,0.299,Bladder and Urothelial Cancer Treatments,98,2,0,0,0,0,0,0,0,0,none
Stefan Green,64,192,411,17753,77,2.835294117647059,Internal Medicine,Rush Medical College,"matched(ns=10,rw=77)",https://orcid.org/0000-0003-2781-359X,https://openalex.org/A5043914301,172,11,5,153,3,0.064,11,31,9,2.096,40,0.233,Gut microbiota and health,26,76,46,23,18,0,0,0,0,0,none
James L. Mulshine,64,170,324,17835,6,7.428571428571429,Internal Medicine,Rush Medical College,"matched(ns=23,rw=6)",https://orcid.org/0000-0002-4648-9177,https://openalex.org/A5082056294,30,17,6,7,0,0.567,2,1,6,2.303,6,0.200,Lung Cancer Diagnosis and Treatment,10,0,0,0,0,0,0,0,0,0,none
Neelum T. Aggarwal,63,118,288,20162,90,2.9565217391304346,Neurological Sciences,Rush Medical College,"matched(ns=23,rw=90)",https://orcid.org/0000-0002-4341-8023,https://openalex.org/A5000626788,133,24,5,104,0,0.180,21,4,6,3.726,37,0.278,Dementia and Cognitive Impairment Research,26,33,32,84,74,8,2,2,2,24605026,exact_first_last
Lothar A. Blatter,63,139,227,11480,13,2.5,Physiology & Biophysics,Rush Medical College,"matched(ns=23,rw=13)",https://orcid.org/0000-0003-3409-8678,https://openalex.org/A5078010572,15,8,1,6,0,0.533,8,0,7,1.467,2,0.133,Cardiac electrophysiology and arrhythmias,10,12,6,7,7,4,2,0,2,2759571,exact_first_last
Babak Mokhlesi,63,154,324,13833,50,5.96875,Internal Medicine,Rush Medical College,"matched(ns=20,rw=50)",https://orcid.org/0000-0001-8135-5433,https://openalex.org/A5068088647,79,22,5,52,0,0.278,17,16,10,2.016,14,0.177,Obstructive Sleep Apnea Research,38,16,12,6,5,0,0,0,0,0,none
Howard M. Kravitz,63,136,214,13009,25,3.4,Psychiatry & Behavioral Sciences,Rush Medical College,"matched(ns=23,rw=25)",https://orcid.org/0000-0001-8013-783X,https://openalex.org/A5043976413,26,6,2,18,0,0.231,6,1,2,2.690,7,0.269,Sleep and related disorders,10,14,13,9,8,0,0,0,0,0,none
Laurence Levine,62,177,371,11855,39,1.3076923076923077,Urology,Rush Medical College,"matched(ns=10,rw=39)",,https://openalex.org/A5109376385,57,36,1,17,3,0.632,28,6,7,0.660,2,0.035,Sexual function and dysfunction studies,43,0,0,2,2,0,0,0,0,0,none
Mark S. Cohen,60,205,475,12044,23,2.1785714285714284,Orthopedic Surgery,Rush Medical College,"matched(ns=23,rw=23)",https://orcid.org/0000-0002-2517-0757,https://openalex.org/A5057675169,70,21,4,42,3,0.300,2,20,14,1.223,8,0.114,Elbow and Forearm Trauma Treatment,10,10,7,0,0,0,0,0,0,0,none
Lynda H. Powell,60,128,332,16647,31,2.9473684210526314,Family & Preventive Medicine,Rush Medical College,"matched(ns=23,rw=31)",https://orcid.org/0000-0002-3527-8227,https://openalex.org/A5033767893,35,8,14,13,0,0.229,8,0,14,2.231,8,0.229,Behavioral Health and Interventions,4,7,6,7,7,0,0,0,0,0,none
Dino Samartzis,60,242,611,13736,85,6.074074074074074,Orthopedic Surgery,Rush Medical College,"matched(ns=20,rw=85)",https://orcid.org/0000-0002-7473-1311,https://openalex.org/A5006385612,116,40,3,73,0,0.345,34,18,19,3.279,38,0.328,Spine and Intervertebral Disc Pathology,37,22,6,6,5,2,1,0,0,382268,exact_first_last
Robert A. Balk,59,166,431,33337,26,20.53846153846154,Internal Medicine,Rush Medical College,corrected_rush5yr,https://orcid.org/0000-0001-5757-2649,https://openalex.org/A5077828570,38,13,4,21,0,0.342,12,3,9,5.008,13,0.342,Sepsis Diagnosis and Treatment,8,8,7,12,10,0,0,0,0,0,none
Charmane I. Eastman,59,92,122,9332,13,1.375,Psychiatry & Behavioral Sciences,Rush Medical College,"matched(ns=23,rw=13)",https://orcid.org/0000-0002-4057-1233,https://openalex.org/A5006266436,13,4,1,7,1,0.308,4,0,2,0.927,1,0.077,Circadian rhythm and melatonin,5,5,1,0,0,0,0,0,0,0,none
Mary K. Hayden,59,144,303,14180,85,10.045454545454545,Internal Medicine,Rush Medical College,"matched(ns=23,rw=85)",https://orcid.org/0000-0002-4603-8501,https://openalex.org/A5056420672,105,23,4,78,0,0.219,18,12,6,4.206,39,0.371,Antibiotic Resistance in Bacteria,11,29,10,28,20,5,1,1,0,4820038,exact_first_last
Frank M. Phillips,59,184,475,12578,63,2.7096774193548385,Orthopedic Surgery,Rush Medical College,"matched(ns=23,rw=63)",,https://openalex.org/A5036387958,97,31,8,58,0,0.320,28,6,12,1.594,22,0.227,Spine and Intervertebral Disc Pathology,29,1,1,8,3,0,0,0,0,0,none
Scott M. Sporer,59,129,204,11388,13,1.6875,Orthopedic Surgery,Rush Medical College,"matched(ns=23,rw=13)",https://orcid.org/0000-0001-6590-1369,https://openalex.org/A5029432162,33,8,1,17,7,0.242,4,2,10,2.127,9,0.273,Total Knee Arthroplasty Outcomes,12,2,0,1,1,0,0,0,0,0,none
D. Rick Sumner,60,162,253,11160,17,2.5,Anatomy & Cell Biology,Rush Medical College,"matched(ns=5,rw=17)",https://orcid.org/0000-0001-9575-3862,https://openalex.org/A5035311437,24,12,1,11,0,0.500,11,3,5,1.730,2,0.083,Orthopaedic implants and arthroplasty,5,12,12,15,11,8,3,3,0,2274655,exact_first_last
Konstantinos Arfanakis,57,151,417,18087,151,2.3884297520661155,Diagnostic Radiology & Nuclear Medicine,Rush Medical College,"matched(ns=20,rw=151)",https://orcid.org/0000-0001-9705-597X,https://openalex.org/A5053836176,214,94,2,118,0,0.439,67,6,14,2.299,39,0.182,Dementia and Cognitive Impairment Research,53,66,65,147,106,9,3,2,0,7523611,exact_first_last
Ithaar Derweesh,57,193,745,14925,4,2.651851851851852,Urology,Rush Medical College,"matched(ns=20,rw=4)",https://orcid.org/0000-0002-8673-0711,https://openalex.org/A5091807397,287,141,1,145,0,0.491,11,122,25,1.843,46,0.160,Renal cell carcinoma treatment,173,7,2,0,0,0,0,0,0,0,none
Katalin Mikecz,57,139,186,9008,8,3.5,Orthopedic Surgery,Rush Medical College,"matched(ns=20,rw=8)",https://orcid.org/0000-0003-1506-4296,https://openalex.org/A5105829628,9,2,0,7,0,0.222,2,1,0,1.665,1,0.111,Protein Tyrosine Phosphatases,4,5,5,8,4,0,0,0,0,0,none
Robert S. Wilson,57,109,185,18594,29,3.75,Neurological Sciences,Rush Medical College,"matched(ns=23,rw=29)",https://orcid.org/0000-0001-9592-0333,https://openalex.org/A5101486622,33,1,3,29,0,0.030,1,1,3,6.085,9,0.273,Dementia and Cognitive Impairment Research,17,16,15,19,17,0,0,0,0,0,none
Sean O'Mahony,26,51,129,2286,21,11.375,Internal Medicine,Rush Medical College,corrected_wrong_person,https://orcid.org/0000-0003-0809-5238,https://openalex.org/A5014823492,30,6,1,23,0,0.200,3,4,2,3.169,12,0.400,Palliative Care and End-of-Life Issues,9,5,4,14,8,0,0,0,0,0,none
Joel A. Block,55,166,369,17493,24,0.8461538461538461,Internal Medicine,Rush Medical College,"matched(ns=23,rw=24)",https://orcid.org/0000-0002-0330-7353,https://openalex.org/A5089546365,37,9,4,22,2,0.243,7,6,6,1.128,5,0.135,Osteoarthritis Treatment and Mechanisms,12,1,1,0,0,0,0,0,0,0,none
Thomas DeCoursey,55,109,175,10024,2,2.2,Physiology & Biophysics,Rush Medical College,"matched(ns=10,rw=2)",https://orcid.org/0000-0002-4263-180X,https://openalex.org/A5016708890,16,5,1,8,2,0.312,4,2,6,0.856,1,0.062,Ion channel regulation and function,7,6,5,0,0,5,2,1,0,2041400,exact_first_last
Christopher Forsyth,54,106,164,11754,34,3.7142857142857144,Internal Medicine,Rush Medical College,"matched(ns=10,rw=34)",https://orcid.org/0000-0003-4690-7751,https://openalex.org/A5062131424,45,0,5,40,0,0.000,0,4,4,2.490,13,0.289,Gut microbiota and health,10,24,22,24,17,0,0,0,0,0,none
Zoe Arvanitakis,53,100,221,19775,75,2.824561403508772,Neurological Sciences,Rush Medical College,"matched(ns=20,rw=75)",https://orcid.org/0000-0001-7477-8884,https://openalex.org/A5014747656,98,37,2,57,2,0.378,36,1,12,2.305,21,0.214,Dementia and Cognitive Impairment Research,21,44,43,45,40,3,2,1,1,5434574,exact_first_last
Nadim J. Hallab,53,99,170,10951,11,3.6666666666666665,Orthopedic Surgery,Rush Medical College,"matched(ns=23,rw=11)",https://orcid.org/0000-0001-6421-2836,https://openalex.org/A5057383926,12,3,3,5,1,0.250,3,0,7,3.201,4,0.333,Orthopaedic implants and arthroplasty,7,4,3,0,0,0,0,0,0,0,none
Stephen M. Korbet,53,100,142,10858,12,0.0,Internal Medicine,Rush Medical College,"matched(ns=23,rw=12)",,https://openalex.org/A5075627079,13,8,1,3,1,0.615,8,1,3,0.256,1,0.077,Systemic Lupus Erythematosus Research,3,0,0,1,1,0,0,0,0,0,none
Anne-Marie Malfait,53,100,261,8820,65,9.208333333333334,Internal Medicine,Rush Medical College,"matched(ns=7,rw=65)",https://orcid.org/0000-0003-1428-0384,https://openalex.org/A5067359842,90,23,4,62,1,0.256,22,6,12,7.162,22,0.244,Osteoarthritis Treatment and Mechanisms,22,35,35,19,11,0,0,0,0,0,none
Kern Singh,53,225,713,10799,222,0.7457627118644068,Orthopedic Surgery,Rush Medical College,"matched(ns=20,rw=222)",https://orcid.org/0000-0002-6118-7273,https://openalex.org/A5002057987,240,224,1,13,2,0.933,215,2,72,0.757,14,0.058,Spine and Intervertebral Disc Pathology,142,0,0,5,3,0,0,0,0,0,none
Melissa Lamar,52,177,448,8938,126,1.4336283185840708,Psychiatry & Behavioral Sciences,Rush Medical College,"matched(ns=20,rw=126)",https://orcid.org/0000-0001-6130-5543,https://openalex.org/A5007705765,203,26,20,157,0,0.128,22,27,24,1.432,37,0.182,Dementia and Cognitive Impairment Research,71,92,87,100,60,8,2,2,2,5585014,exact_first_last
Kumar B. Rajan,52,118,230,10954,62,6.083333333333333,Internal Medicine,Rush Medical College,"matched(ns=23,rw=62)",https://orcid.org/0000-0003-1268-4617,https://openalex.org/A5042824125,82,53,2,27,0,0.646,51,7,2,3.573,22,0.268,Dementia and Cognitive Impairment Research,35,29,29,40,35,10,4,3,2,22005743,exact_first_last
Judith Badner,51,92,145,17962,3,0.0,Psychiatry & Behavioral Sciences,Rush Medical College,"matched(ns=10,rw=3)",,https://openalex.org/A5109376464,18,0,0,18,0,0.000,0,14,0,0.137,0,0.000,Cancer Treatment and Pharmacology,12,3,3,0,0,0,0,0,0,0,none
Helen Burgess,51,124,271,8730,2,2.923076923076923,Psychiatry & Behavioral Sciences,Rush Medical College,"matched(ns=10,rw=2)",https://orcid.org/0000-0003-3816-8194,https://openalex.org/A5002895383,97,16,18,62,1,0.165,2,54,18,1.884,18,0.186,Circadian rhythm and melatonin,32,41,35,15,5,0,0,0,0,0,none
Asokumar Buvanendran,51,120,209,10514,21,2.25,Anesthesiology,Rush Medical College,"matched(ns=20,rw=21)",https://orcid.org/0000-0002-5126-3068,https://openalex.org/A5113554756,24,6,1,17,0,0.250,5,1,1,6.797,8,0.333,Anesthesia and Pain Management,6,4,3,8,4,2,1,0,0,5585899,exact_first_last
Paula P. Meier,51,110,194,7833,16,4.090909090909091,Pediatrics,Rush Medical College,"matched(ns=23,rw=16)",https://orcid.org/0000-0001-8834-8922,https://openalex.org/A5025519596,20,7,1,11,1,0.350,7,0,2,2.642,7,0.350,Breastfeeding Practices and Influences,12,2,2,8,8,0,0,0,0,0,none
William A. Scheftner,51,80,97,15439,0,0,Psychiatry & Behavioral Sciences,Rush Medical College,verified_correct,,https://openalex.org/A5108093408,0,0,0,0,0,0.000,0,0,0,0.000,0,0.000,,0,0,0,0,0,0,0,0,0,0,none
Markus A. Wimmer,51,159,396,8835,53,1.6875,Orthopedic Surgery,Rush Medical College,"matched(ns=23,rw=53)",https://orcid.org/0000-0001-6169-3873,https://openalex.org/A5075404864,77,39,6,31,1,0.506,35,10,19,1.501,16,0.208,Orthopaedic implants and arthroplasty,19,22,17,19,16,2,1,1,0,376103,exact_first_last
Vincent C. Traynelis,50,114,254,8518,12,0.0,Neurological Surgery,Rush Medical College,"matched(ns=23,rw=12)",https://orcid.org/0000-0002-6454-9997,https://openalex.org/A5047181463,15,5,2,8,0,0.333,4,0,4,1.346,4,0.267,Cervical and Thoracic Myelopathy,7,0,0,0,0,0,0,0,0,0,none
Adam Yanke,50,176,482,8072,177,2.0121951219512195,Orthopedic Surgery,Rush Medical College,"matched(ns=10,rw=177)",https://orcid.org/0000-0002-9601-4217,https://openalex.org/A5048558888,242,110,13,119,0,0.455,100,19,63,1.511,46,0.190,Lower Extremity Biomechanics and Pathologies,75,1,1,2,1,2,1,0,0,378213,exact_first_last
Pete S. Batra,49,146,308,8357,48,3.130434782608696,Otorhinolaryngology - Head & Neck Surgery,Rush Medical College,"matched(ns=23,rw=48)",,https://openalex.org/A5111980059,51,8,0,43,0,0.157,8,2,2,1.953,8,0.157,Sinusitis and nasal conditions,25,2,1,18,15,0,0,0,0,0,none
R. Webster Crowley,49,119,202,6858,10,24.0,Neurological Surgery,Rush Medical College,"matched(ns=23,rw=10)",https://orcid.org/0000-0002-9197-0437,https://openalex.org/A5102956192,36,1,1,34,0,0.028,1,6,1,3.851,6,0.167,Acute Ischemic Stroke Management,14,2,2,1,1,0,0,0,0,0,none
Jeffrey S. Kroin,49,104,163,8831,2,0.0,Anesthesiology,Rush Medical College,"matched(ns=23,rw=2)",,https://openalex.org/A5030152148,2,0,0,2,0,0.000,0,0,1,0.977,0,0.000,Treatment of Major Depression,1,0,0,0,0,0,0,0,0,0,none
Anna Plaas,49,98,143,6762,4,0.3333333333333333,Internal Medicine,Rush Medical College,"matched(ns=20,rw=4)",https://orcid.org/0000-0001-5205-0892,https://openalex.org/A5066676304,5,2,1,2,0,0.400,2,0,1,7.939,1,0.200,Proteoglycans and glycosaminoglycans research,2,2,0,4,4,0,0,0,0,0,none
Christy Tangney,50,111,256,14485,36,9.434782608695652,College of Health Sciences,College of Health Sciences,"matched(ns=20,rw=36)",https://orcid.org/0000-0002-2431-9687,https://openalex.org/A5084677095,58,5,2,51,0,0.086,4,0,3,6.973,19,0.328,Nutritional Studies and Diet,19,21,17,41,34,0,0,0,0,0,none
Lai Wang,49,120,257,13661,8,8.181818181818182,Internal Medicine,Rush Medical College,"matched(ns=20,rw=8)",https://orcid.org/0000-0002-3323-7210,https://openalex.org/A5030513449,60,9,7,44,0,0.150,0,38,14,2.060,15,0.250,Cell death mechanisms and regulation,5,15,6,8,5,0,0,0,0,0,none
Irving Waxman,49,127,482,9118,22,2.5,Internal Medicine,Rush Medical College,"matched(ns=20,rw=22)",https://orcid.org/0000-0003-1442-056X,https://openalex.org/A5088448743,88,16,1,71,0,0.182,11,55,2,1.561,10,0.114,Esophageal Cancer Research and Treatment,24,2,1,4,0,0,0,0,0,0,none
Jeffrey A. Borgia,48,86,281,38170,66,2.4782608695652173,Anatomy & Cell Biology,Rush Medical College,"matched(ns=23,rw=66)",https://orcid.org/0000-0002-1520-7966,https://openalex.org/A5032871452,95,15,0,80,0,0.158,15,22,7,0.813,7,0.074,Lung Cancer Treatments and Mutations,9,14,10,69,56,0,0,0,0,0,none
Cynthia Comella,48,92,251,9303,64,5.0,Neurological Sciences,Rush Medical College,"matched(ns=20,rw=64)",https://orcid.org/0000-0001-7100-4701,https://openalex.org/A5062212464,69,7,9,53,0,0.101,7,3,9,1.573,13,0.188,Botulinum Toxin and Related Neurological Disorders,42,9,7,0,0,0,0,0,0,0,none
Klodian Dhana,48,84,217,23946,93,3.358490566037736,Internal Medicine,Rush Medical College,"matched(ns=20,rw=93)",https://orcid.org/0000-0002-6397-7009,https://openalex.org/A5088390845,121,2,22,97,0,0.017,2,9,21,3.985,34,0.281,Dementia and Cognitive Impairment Research,29,44,38,64,56,1,1,1,0,431750,exact_first_last
